,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart,TweetsAgo,Color
377,@FoxNews,"RT @bbccomedy: When the help's so helpful, but you just can't stand her helping. #FirstWorldProblems #Motherland @MissDianeMorgan https://t…",2017-12-12 19:19:59,-0.0062,0.112,0.775,0.113,0.0033333333333333335,78.0,green
376,@FoxNews,"'The Spice Girls only had one black member and she was called Scary!' 😂
#LiveAtTheApollo via @BBCTwo. https://t.co/ttkiAvosb6",2017-12-12 19:30:05,0.0,0.0,1.0,0.0,0.16833333333333333,77.0,green
375,@FoxNews,"Overfishing and changing sea temperatures are pushing seabirds to the brink of extinction, according to new data. 🦅… https://t.co/Gm4wOSz6TB",2017-12-12 20:00:09,0.0,0.0,1.0,0.0,0.5011111111111111,76.0,green
374,@FoxNews,'I’m talking about my rape to encourage other male victims to do the same.' https://t.co/KJuXHNo0oC https://t.co/KeO7ujanSr,2017-12-12 20:30:05,-0.5719,0.142,0.558,0.3,0.4988888888888889,75.0,green
373,@FoxNews,"Feelings of stress and anxiety disorders are extremely common. Remember, you're not alone in this and you don't hav… https://t.co/Zw8sl2UxTU",2017-12-13 07:38:04,-0.4137,0.075,0.731,0.194,11.133055555555556,74.0,green
372,@FoxNews,The 'Godfather of Coral' has identified more than 20% of the world's coral species &amp; transformed our understanding… https://t.co/tRtikV4SbW,2017-12-13 08:00:04,0.0,0.0,1.0,0.0,0.36666666666666664,73.0,green
371,@FoxNews,There's great pleasure in realising that total unknowns can be as brilliant as your favourite recording artists. 🎹🎶… https://t.co/ohcGDgymVJ,2017-12-13 08:20:03,0.9118,0.42,0.58,0.0,0.33305555555555555,72.0,green
370,@FoxNews,"Steph's a cheerleading world champion. She's also blind. ✊❤️️
Via @BBCStories. https://t.co/CktGzvfE1P",2017-12-13 08:40:01,0.5267,0.363,0.476,0.161,0.3327777777777778,71.0,green
369,@FoxNews,"Coronary heart disease is the biggest killer in the UK, causing almost 74,000 deaths each year. 
💪❤️️  Here are 10… https://t.co/7zMRqir8VH",2017-12-13 09:00:05,-0.6486,0.0,0.823,0.177,0.33444444444444443,70.0,green
368,@FoxNews,"'Rousing.' 'Thrilling.' 'Addictively bold.'
Just a few of the superlatives critics are using to describe the latest… https://t.co/nIKR8Odx8e",2017-12-13 10:18:11,-0.296,0.0,0.879,0.121,1.3016666666666667,69.0,green
