,strAccount,strText,DateTime,fltCompound,fltPositive,fltNeutral,fltNegative,hrsApart
0,@BBC,"If you put all the man hours together, it would be 75 years of someone's life to do all the visual effects on Paddi… https://t.co/qXDiEDggSw",2017-12-14 19:00:04,0.0,0.0,1.0,0.0,0
1,@BBC,"Scientists have unveiled a detailed genetic map of Ireland, revealing subtle DNA differences that may reflect histo… https://t.co/90QIQbSpKg",2017-12-14 18:30:10,0.0,0.0,1.0,0.0,0
2,@BBC,"🍠🥕🥑 Here are our favourite vegetarian dishes to help herbivores up their protein intake, iron and fibre.… https://t.co/1bq9ZNdozI",2017-12-14 18:00:33,0.4019,0.137,0.863,0.0,0
3,@BBC,👽 'Ask them if they believe in aliens' + 6 other awkward Christmas party conversation starters to help you survive… https://t.co/SIwOyxXkqj,2017-12-14 17:30:10,0.5859,0.245,0.682,0.073,0
4,@BBC,"🙄
Looking up or rolling eyes?

Via @BBCScotland. https://t.co/d6W5jfMNIg",2017-12-14 17:00:05,0.0,0.0,1.0,0.0,0
5,@BBC,"🎞🎵🎨 Gospel singer and civil rights activist @MavisStaples reveals her current picks for theatre, music and film. 👉… https://t.co/fNllKUJwMW",2017-12-14 14:00:08,0.0,0.0,1.0,0.0,0
6,@BBC,"🎄 @LiamPayne, @ddlovato &amp; @Camila_Cabello will all present Christmas Day shows on @BBCR1. 👉 https://t.co/1k9h7hNZ3r… https://t.co/FAVRZRPkX1",2017-12-14 13:30:06,0.0,0.0,1.0,0.0,0
7,@BBC,"❄️⛄️ How cold can it get at work before you can legally go home? https://t.co/RCSDvZZRxg

We were all thinking it... https://t.co/9DWTOhCFL0",2017-12-14 13:03:04,0.1027,0.065,0.935,0.0,0
8,@BBC,RT @BBCNewsround: What do the @UKRobotWars house bots do on their day off? Shovel snow of course! ❄ https://t.co/krB7oQIEBR https://t.co/0l…,2017-12-14 12:46:06,0.0,0.0,1.0,0.0,0
9,@BBC,"RT @BBC6Music: What was your favourite album of 2017? 

Here's Jodie Whittaker (@bbcdoctorwho / @BroadchurchTV) sharing her favourite. #201…",2017-12-14 12:45:09,0.4215,0.141,0.859,0.0,0
10,@BBC,"The awkward moment when Graham gets the wrong Gallagher brother. 😬

The Graham Norton Show | @BBCOne https://t.co/B7PGlaPmXw",2017-12-14 12:30:04,-0.5719,0.0,0.749,0.251,0
11,@BBC,"RT @BBCNews: 53 adults, 18 children 💚
#GrenfellTower

https://t.co/0lM54Cvw07 https://t.co/vJAhXktYRe",2017-12-14 12:27:47,0.0,0.0,1.0,0.0,0
12,@BBC,"RT @BBCR1: 🎶 We're dreaming of a @LondonGrammar Christmas album 🎶

How heavenly is this? 🎄💫 https://t.co/Xh7aHEXCWt",2017-12-14 12:25:25,0.6124,0.235,0.765,0.0,0
13,@BBC,"RT @BBCR1: 🎼 🎻🎶✨

@LondonGrammar + a string quintet is SO heavenly!

Stay tuned for their Christmas Live Lounge cover... https://t.co/a2yVo…",2017-12-14 12:12:46,0.7444,0.238,0.762,0.0,0
14,@BBC,RT @bbcpress: Special event staged at London Palladium in honour of Sir Bruce Forsyth will be aired on @BBCOne: https://t.co/JTbcFk2PXj htt…,2017-12-14 12:01:41,0.7506,0.252,0.748,0.0,0
15,@BBC,"He proposed to his wife naked in a vegetable garden... 😳🍆💍

10 Things we learned about @KelseyGrammer from his… https://t.co/novuBDLLSE",2017-12-14 12:00:08,0.0,0.0,1.0,0.0,0
16,@BBC,"Did you know that the ability for adults to digest milk is a relatively recent genetic mutation?
Here are 3 quirky… https://t.co/q4ivJ3J8Lr",2017-12-14 11:00:09,0.3182,0.108,0.892,0.0,0
17,@BBC,"The mercury plummeted over the weekend in Scotland, reaching as low as -11.3 degrees at Dalwhinnie!
Here are your p… https://t.co/nHWTU8tAPa",2017-12-14 10:00:15,-0.1511,0.078,0.819,0.103,0
18,@BBC,How a vertical village can bring a community together. 🌱❤️️ https://t.co/SZvVg2U7EX https://t.co/bwazhnIJxv,2017-12-14 09:00:06,0.0,0.0,1.0,0.0,0
19,@BBC,"'I'm not an eco-warrior, I'm just a normal mum.' 
Chrissy is trying to reduce the amount of plastic her family thro… https://t.co/Cb83chprZk",2017-12-14 08:40:04,0.0,0.0,1.0,0.0,0
20,@BBC,"If you put all the man hours together, it would be 75 years of someone's life to do all the visual effects on Paddi… https://t.co/qXDiEDggSw",2017-12-14 19:00:04,0.0,0.0,1.0,0.0,0
21,@BBC,"Scientists have unveiled a detailed genetic map of Ireland, revealing subtle DNA differences that may reflect histo… https://t.co/90QIQbSpKg",2017-12-14 18:30:10,0.0,0.0,1.0,0.0,0
22,@BBC,"🍠🥕🥑 Here are our favourite vegetarian dishes to help herbivores up their protein intake, iron and fibre.… https://t.co/1bq9ZNdozI",2017-12-14 18:00:33,0.4019,0.137,0.863,0.0,0
23,@BBC,👽 'Ask them if they believe in aliens' + 6 other awkward Christmas party conversation starters to help you survive… https://t.co/SIwOyxXkqj,2017-12-14 17:30:10,0.5859,0.245,0.682,0.073,0
24,@BBC,"🙄
Looking up or rolling eyes?

Via @BBCScotland. https://t.co/d6W5jfMNIg",2017-12-14 17:00:05,0.0,0.0,1.0,0.0,0
25,@BBC,"🎞🎵🎨 Gospel singer and civil rights activist @MavisStaples reveals her current picks for theatre, music and film. 👉… https://t.co/fNllKUJwMW",2017-12-14 14:00:08,0.0,0.0,1.0,0.0,0
26,@BBC,"🎄 @LiamPayne, @ddlovato &amp; @Camila_Cabello will all present Christmas Day shows on @BBCR1. 👉 https://t.co/1k9h7hNZ3r… https://t.co/FAVRZRPkX1",2017-12-14 13:30:06,0.0,0.0,1.0,0.0,0
27,@BBC,"❄️⛄️ How cold can it get at work before you can legally go home? https://t.co/RCSDvZZRxg

We were all thinking it... https://t.co/9DWTOhCFL0",2017-12-14 13:03:04,0.1027,0.065,0.935,0.0,0
28,@BBC,RT @BBCNewsround: What do the @UKRobotWars house bots do on their day off? Shovel snow of course! ❄ https://t.co/krB7oQIEBR https://t.co/0l…,2017-12-14 12:46:06,0.0,0.0,1.0,0.0,0
29,@BBC,"RT @BBC6Music: What was your favourite album of 2017? 

Here's Jodie Whittaker (@bbcdoctorwho / @BroadchurchTV) sharing her favourite. #201…",2017-12-14 12:45:09,0.4215,0.141,0.859,0.0,0
30,@BBC,"The awkward moment when Graham gets the wrong Gallagher brother. 😬

The Graham Norton Show | @BBCOne https://t.co/B7PGlaPmXw",2017-12-14 12:30:04,-0.5719,0.0,0.749,0.251,0
31,@BBC,"RT @BBCNews: 53 adults, 18 children 💚
#GrenfellTower

https://t.co/0lM54Cvw07 https://t.co/vJAhXktYRe",2017-12-14 12:27:47,0.0,0.0,1.0,0.0,0
32,@BBC,"RT @BBCR1: 🎶 We're dreaming of a @LondonGrammar Christmas album 🎶

How heavenly is this? 🎄💫 https://t.co/Xh7aHEXCWt",2017-12-14 12:25:25,0.6124,0.235,0.765,0.0,0
33,@BBC,"RT @BBCR1: 🎼 🎻🎶✨

@LondonGrammar + a string quintet is SO heavenly!

Stay tuned for their Christmas Live Lounge cover... https://t.co/a2yVo…",2017-12-14 12:12:46,0.7444,0.238,0.762,0.0,0
34,@BBC,RT @bbcpress: Special event staged at London Palladium in honour of Sir Bruce Forsyth will be aired on @BBCOne: https://t.co/JTbcFk2PXj htt…,2017-12-14 12:01:41,0.7506,0.252,0.748,0.0,0
35,@BBC,"He proposed to his wife naked in a vegetable garden... 😳🍆💍

10 Things we learned about @KelseyGrammer from his… https://t.co/novuBDLLSE",2017-12-14 12:00:08,0.0,0.0,1.0,0.0,0
36,@BBC,"Did you know that the ability for adults to digest milk is a relatively recent genetic mutation?
Here are 3 quirky… https://t.co/q4ivJ3J8Lr",2017-12-14 11:00:09,0.3182,0.108,0.892,0.0,0
37,@BBC,"The mercury plummeted over the weekend in Scotland, reaching as low as -11.3 degrees at Dalwhinnie!
Here are your p… https://t.co/nHWTU8tAPa",2017-12-14 10:00:15,-0.1511,0.078,0.819,0.103,0
38,@BBC,How a vertical village can bring a community together. 🌱❤️️ https://t.co/SZvVg2U7EX https://t.co/bwazhnIJxv,2017-12-14 09:00:06,0.0,0.0,1.0,0.0,0
39,@BBC,"'I'm not an eco-warrior, I'm just a normal mum.' 
Chrissy is trying to reduce the amount of plastic her family thro… https://t.co/Cb83chprZk",2017-12-14 08:40:04,0.0,0.0,1.0,0.0,0
40,@BBC,"The extent with which we use our unconscious mind is enormous – and the more we use it, the better we perform many… https://t.co/HYw72pkMD4",2017-12-14 08:20:03,0.4404,0.116,0.884,0.0,0
41,@BBC,"'As long as I get the strength to do it, I'll carry on.' 💕
Via @BBCStories. https://t.co/K3NBJzFyID",2017-12-14 08:00:01,0.4939,0.186,0.814,0.0,0
42,@BBC,"In a quiet corner of northern Europe exists a geopolitical anomaly, where many buildings have an international bord… https://t.co/U0BoEVqWwY",2017-12-14 07:38:04,0.0,0.0,1.0,0.0,0
43,@BBC,London's Euston station will be turned into a shelter for the homeless on Christmas Day. ❤️️🎁… https://t.co/Y834ULzLu5,2017-12-13 20:00:10,0.0,0.0,1.0,0.0,0
44,@BBC,🐘 Why you must never pee in front of elephants... and more surprising facts. 👉 https://t.co/Bz8ncFjAfa https://t.co/o2vs4NJDK0,2017-12-13 19:31:04,0.3384,0.146,0.854,0.0,0
45,@BBC,"It’s spicy, it's tangy &amp; it'll warm you right up. 🍲😋
Get the full recipe for @Rick_Stein's Sopa Azteca here. 👉… https://t.co/jLcGMawMgO",2017-12-13 19:00:02,0.2263,0.083,0.917,0.0,0
46,@BBC,Princess Margaret broke all the royal rules long before Prince Harry. 👑 https://t.co/RffK1BgQG0 https://t.co/TMnsg71XDB,2017-12-13 18:32:04,-0.4215,0.0,0.811,0.189,0
47,@BBC,"Còsagach: A feeling of being snug, sheltered or cosy. 🤗
Scotland could offer visitors a rival to the Danish concept… https://t.co/XlVpqlvaTV",2017-12-13 18:00:12,0.128,0.081,0.919,0.0,0
48,@BBC,"Dwayne Johnson, president, 2020?

The Graham Norton Show | @BBCOne https://t.co/TfDdY43IER",2017-12-13 17:30:01,0.0,0.0,1.0,0.0,0
49,@BBC,"RT @bbcgenome: #OTD 2006, @StephenMerchant won a British Comedy Award for his role in Extras. Here he is pictured alongside @rickygervais a…",2017-12-13 17:23:02,0.8658,0.35,0.65,0.0,0
50,@BBC,"'Tartes of flesh' used to include pork, hard-boiled eggs, cheese, spices, saffron, &amp; sugar in the 1300s. 😬

This is… https://t.co/39MHfYnQ6Y",2017-12-13 17:00:14,0.0,0.0,1.0,0.0,0
51,@BBC,'Meghan Markle' and 'fidget spinners' top UK Google search for 2017. https://t.co/hYKDDFVfPL https://t.co/YCbpX1K8yC,2017-12-13 15:49:03,0.2023,0.13,0.87,0.0,0
52,@BBC,RT @BBCNewsEnts: Peter Kay fans will be pleased to hear his final 2 Car Share episodes have already been filmed and will be screened next y…,2017-12-13 15:39:29,0.6249,0.181,0.819,0.0,0
53,@BBC,"Whether you're filling hampers or catering for a party, we've got all the biscuit recipes you need for a perfect Ch… https://t.co/9csfsG53Le",2017-12-13 15:12:05,0.7506,0.262,0.738,0.0,0
54,@BBC,This guy made a candy cane pizza and we might need to cancel Christmas. 💈🙅 https://t.co/6DGfL53C2O https://t.co/W0pvpj4V4d,2017-12-13 14:37:03,-0.25,0.0,0.882,0.118,0
55,@BBC,"When cold air meets warm air, ice crystals form six-sided shapes around a speck of dust, creating a snowflake! ❄️
W… https://t.co/NAgUr0xHZq",2017-12-13 14:03:03,0.5255,0.196,0.804,0.0,0
56,@BBC,"Being friends with George Clooney is probably cool enough...
Now it's been revealed he's given $1 million to each o… https://t.co/AK3GUd8UXq",2017-12-13 13:30:05,0.6597,0.221,0.779,0.0,0
57,@BBC,RT @bbcthree: PLOT TWIST. #TheApprentice https://t.co/eIpXZy7Jm2,2017-12-13 13:14:21,0.0,0.0,1.0,0.0,0
58,@BBC,RT @bbccomedy: French and Saunders celebrate 300 years in showbiz! 🙌 @FerriFrump @Dawn_French https://t.co/X8WgKukZ8W,2017-12-13 13:11:33,0.6114,0.25,0.75,0.0,0
59,@BBC,"'It was brilliant to sweep in to a room and say, ""hokey-cokey pig in a pokey, good morning job seekers!""'

Who's ex… https://t.co/Ejnm3jvDOP",2017-12-13 13:00:02,0.7901,0.269,0.731,0.0,0
60,@BBC,"This woman is showing people how to turn their food pics into #FoodPorn. 🍩🤤
Via BBC Minute. https://t.co/sScwTTcPuB",2017-12-13 12:30:02,0.0,0.0,1.0,0.0,0
61,@BBC,"RT @BBCR1: ⚡️ @SamSmithWorld got everyone in their feelings with his Christmas cover 😭🎄

https://t.co/Y1B16frQ4p",2017-12-13 12:27:30,0.0,0.0,1.0,0.0,0
62,@BBC,"RT @BBCR1: How stunning is this? 

@SamSmithWorld covering Have Yourself A Merry Little Christmas is totally perfect. 💫 https://t.co/7rJdEM…",2017-12-13 12:21:18,0.8777,0.419,0.581,0.0,0
63,@BBC,"RT @BBCR1: THAT VOICE 😍

So good to have @SamSmithWorld back in the Live Lounge. One Last Song sounds SO beautiful (and pretty festive, no?…",2017-12-13 12:09:04,0.9455,0.433,0.567,0.0,0
64,@BBC,Late Junction has spent the year traversing the outer edges of musical experimentation to find the most interesting… https://t.co/D9YD5pVIDU,2017-12-13 12:00:08,0.0,0.0,1.0,0.0,0
65,@BBC,"RT @bbcmusic: 😎 @Harry_Styles stepped in to host @JKCorden's TV show last night (with 2.5 hours notice!)
👉 https://t.co/KMPl2POLrC https://…",2017-12-13 11:52:55,0.0,0.0,1.0,0.0,0
66,@BBC,"RT @BBCTwo: In 2012, Daniel lost both his legs after being run over by a police vehicle.

Since then, he's applied for over 800 jobs... but…",2017-12-13 11:42:41,-0.3182,0.0,0.913,0.087,0
67,@BBC,"French and Saunders celebrate 300 years in showbiz. 🙌

Full interview 👉 https://t.co/rompNHRjh8

300 Years of Frenc… https://t.co/kzA69viRu4",2017-12-13 10:39:21,0.5719,0.198,0.802,0.0,0
68,@BBC,"'Rousing.' 'Thrilling.' 'Addictively bold.'
Just a few of the superlatives critics are using to describe the latest… https://t.co/nIKR8Odx8e",2017-12-13 10:18:11,-0.296,0.0,0.879,0.121,0
69,@BBC,"Coronary heart disease is the biggest killer in the UK, causing almost 74,000 deaths each year. 
💪❤️️  Here are 10… https://t.co/7zMRqir8VH",2017-12-13 09:00:05,-0.6486,0.0,0.823,0.177,0
